Sample	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336794	Skin	Left palm	residence 1 Left Palm Day 1 Day	Residence 1	Day 1 day	Subject_1
SL336798	Skin	Right palm	Residence 1 Right Palm Day 1 Day	Residence 1	Day 1 day	Subject_1
SL345911	Skin	Left palm	residence 2 left palm day 1 day	Residence 2	Day 1 day	Subject_2
SL345919	Skin	Right palm	residence 2 right palm day 1 day	Residence 2	Day 1 day	Subject_2
SL336688	Skin	Left palm	Residence 3 left palm day 1 day	Residence 3	Day 1 day	Subject_3
SL336696	Skin	Right palm	residence 3 right palm day 1 day	Residence 3	Day 1 day	Subject_3
SL346171	Skin	Left palm	residence 4 left palm day 1 day	Residence 4	Day 1 day	Subject_4
SL336826	Skin	Left palm	Residence 1 Left Palm Day 1 Night	Residence 1	Day 1 night	Subject_1
SL336821	Skin	Right palm	Residence 1 Right Palm Day 1 Night	Residence 1	Day 1 night	Subject_1
SL345975	Skin	Left palm	residence 2 left palm day 1 night	Residence 2	Day 1 night	Subject_2
SL345959	Skin	Right palm	residence 2 right palm day 1 night	Residence 2	Day 1 night	Subject_2
SL336768	Skin	Left palm	residence 3 left palm day 1 night	Residence 3	Day 1 night	Subject_3
SL336776	Skin	Right palm	residence 3 right palm day 1 night	Residence 3	Day 1 night	Subject_3
SL346113	Skin	Left palm	residence 4 left palm day 1 night	Residence 4	Day 1 night	Subject_4
SL336663	Skin	Left palm	residence 1 left palm day 10 day	Residence 1	Day 10 day	Subject_1
SL336657	Skin	Right palm	residence 1 right palm day 10 day	Residence 1	Day 10 day	Subject_1
SL336564	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336585	Skin	Left palm	residence 3 left palm day 10 night	Residence 3	Day 10 night	Subject_3
SL336582	Skin	Right palm	residence 3 right palm day 10 night	Residence 3	Day 10 night	Subject_3
SL345936	Skin	Left palm	residence 2 left palm day 2 day	Residence 2	Day 2 day	Subject_2
SL345904	Skin	Right palm	residence 2 right palm day 2 day	Residence 2	Day 2 day	Subject_2
SL336689	Skin	Left palm	residence 3 left palm day 2 day	Residence 3	Day 2 day	Subject_3
SL336697	Skin	Right palm	residence 3 right palm day 2 day	Residence 3	Day 2 day	Subject_3
SL346147	Skin	Left palm	residence 4 left palm day 2 day	Residence 4	Day 2 day	Subject_4
SL346172	Skin	Right palm	residence 4 right palm day 2 day	Residence 4	Day 2 day	Subject_4
SL336832	Skin	Left palm	Residence 1 left palm day 2 night	Residence 1	Day 2 night	Subject_1
SL336827	Skin	Right palm	residence 1 right palm day 2 night	Residence 1	Day 2 night	Subject_1
SL345976	Skin	Left palm	residence 2 left palm day 2 night	Residence 2	Day 2 night	Subject_2
SL345984	Skin	Right palm	residence 2 right palm day 2 night	Residence 2	Day 2 night	Subject_2
SL336745	Skin	Left palm	residence 3 left palm day 2 night	Residence 3	Day 2 night	Subject_3
SL336737	Skin	Right palm	residence 3 right palm day 2 night	Residence 3	Day 2 night	Subject_3
SL346139	Skin	Right palm	residence 4 right palm day 2 night	Residence 4	Day 2 night	Subject_4
SL342547	Skin	Left palm	residence 1 left palm day 3 day	Residence 1	Day 3 day	Subject_1
SL342548	Skin	Right palm	residence 1 right palm day 3 day	Residence 1	Day 3 day	Subject_1
SL345929	Skin	Left palm	residence 2 left palm day 3 day	Residence 2	Day 3 day	Subject_2
SL345921	Skin	Right palm	residence 2 right palm day 3 day	Residence 2	Day 3 day	Subject_2
SL336698	Skin	Left palm	residence 3 left palm day 3 day	Residence 3	Day 3 day	Subject_3
SL336690	Skin	Right palm	residence 3 right palm day 3 day	Residence 3	Day 3 day	Subject_3
SL346115	Skin	Right palm	residence 4 right palm day 3 day	Residence 4	Day 3 day	Subject_4
SL336588	Skin	Left palm	Residence 1 left palm day 3 night	Residence 1	Day 3 night	Subject_1
SL345962	Skin	Left palm	residence 2 left palm day 3 night	Residence 2	Day 3 night	Subject_2
SL345977	Skin	Right palm	residence 2 right palm day 3 night	Residence 2	Day 3 night	Subject_2
SL336770	Skin	Left palm	residence 3 left palm day 3 night	Residence 3	Day 3 night	Subject_3
SL336778	Skin	Right palm	residence 3 right palm day 3 night	Residence 3	Day 3 night	Subject_3
SL346160	Skin	Left palm	residence 4 left palm day 3 night	Residence 4	Day 3 night	Subject_4
SL346144	Skin	Right palm	residence 4 right palm day 3 night	Residence 4	Day 3 night	Subject_4
SL336600	Skin	Left palm	residence 1 left palm day 4 day	Residence 1	Day 4 day	Subject_1
SL336591	Skin	Right palm	residence 1 right palm day 4 day	Residence 1	Day 4 day	Subject_1
SL345906	Skin	Left palm	residence 2 left palm day 4 day	Residence 2	Day 4 day	Subject_2
SL345946	Skin	Right palm	residence 2 right palm day 4 day	Residence 2	Day 4 day	Subject_2
SL336699	Skin	Left palm	residence 3 left palm day 4 day	Residence 3	Day 4 day	Subject_3
SL336692	Skin	Right palm	residence 3 right palm day 4 day	Residence 3	Day 4 day	Subject_3
SL346129	Skin	Left palm	residence 4 left palm day 4 day	Residence 4	Day 4 day	Subject_4
SL346137	Skin	Right palm	residence 4 right palm day 4 day	Residence 4	Day 4 day	Subject_4
SL345954	Skin	Left palm	residence 2 left palm day 4 night	Residence 2	Day 4 night	Subject_2
SL345970	Skin	Right palm	residence 2 right palm day 4 night	Residence 2	Day 4 night	Subject_2
SL336771	Skin	Left palm	residence 3 left palm day 4 night	Residence 3	Day 4 night	Subject_3
SL336779	Skin	Right palm	residence 3 right palm day 4 night	Residence 3	Day 4 night	Subject_3
SL346100	Skin	Left palm	residence 4 left palm day 4 night	Residence 4	Day 4 night	Subject_4
SL346167	Skin	Right palm	residence 4 right palm day 4 night	Residence 4	Day 4 night	Subject_4
SL336658	Skin	Left palm	residence 1 left palm day 5 day	Residence 1	Day 5 day	Subject_1
SL336670	Skin	Right palm	residence 1 right palm day 5 day	Residence 1	Day 5 day	Subject_1
SL345915	Skin	Left palm	residence 2 left palm day 5 day	Residence 2	Day 5 day	Subject_2
SL345907	Skin	Right palm	residence 2 right palm day 5 day	Residence 2	Day 5 day	Subject_2
SL336700	Skin	Left palm	residence 3 left palm day 5 day	Residence 3	Day 5 day	Subject_3
SL336693	Skin	Right palm	residence 3 right palm day 5 day	Residence 3	Day 5 day	Subject_3
SL346128	Skin	Left palm	residence 4 left palm day 5 day	Residence 4	Day 5 day	Subject_4
SL346150	Skin	Right palm	residence 4 right palm day 5 day	Residence 4	Day 5 day	Subject_4
SL336620	Skin	Left palm	residence 1 left palm day 5 night	Residence 1	Day 5 night	Subject_1
SL336627	Skin	Right palm	residence 1 right palm day 5 night	Residence 1	Day 5 night	Subject_1
SL345971	Skin	Left palm	residence 2 left palm day 5 night	Residence 2	Day 5 night	Subject_2
SL345955	Skin	Right palm	residence 2 right palm day 5 night	Residence 2	Day 5 night	Subject_2
SL336772	Skin	Right palm	residence 3 right palm day 5 night	Residence 3	Day 5 night	Subject_3
SL346090	Skin	Left palm	residence 4 left palm day 5 night	Residence 4	Day 5 night	Subject_4
SL336634	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL345940	Skin	Left palm	residence 2 left palm day 6 day	Residence 2	Day 6 day	Subject_2
SL345916	Skin	Right palm	residence 2 right palm day 6 day	Residence 2	Day 6 day	Subject_2
SL336701	Skin	Left palm	residence 3 left palm day 6 day	Residence 3	Day 6 day	Subject_3
SL336691	Skin	Right palm	residence 3 right palm day 6 day	Residence 3	Day 6 day	Subject_3
SL346108	Skin	Left palm	residence 4 left palm day 6 day	Residence 4	Day 6 day	Subject_4
SL346173	Skin	Right palm	residence 4 right palm day 6 day	Residence 4	Day 6 day	Subject_4
SL336614	Skin	Left palm	residence 1 left palm day 6 night	Residence 1	Day 6 night	Subject_1
SL336683	Skin	Right palm	residence 1 right palm day 6 night	Residence 1	Day 6 night	Subject_1
SL345996	Skin	Left palm	residence 2 left palm day 6 night	Residence 2	Day 6 night	Subject_2
SL345964	Skin	Right palm	residence 2 right palm day 6 night	Residence 2	Day 6 night	Subject_2
SL336781	Skin	Left palm	residence 3 left palm day 6 night	Residence 3	Day 6 night	Subject_3
SL336773	Skin	Right palm	residence 3 right palm day 6 night	Residence 3	Day 6 night	Subject_3
SL346088	Skin	Left palm	residence 4 left palm day 6 night	Residence 4	Day 6 night	Subject_4
SL346105	Skin	Right palm	residence 4 right palm day 6 night	Residence 4	Day 6 night	Subject_4
SL336660	Skin	Left palm	residence 1 left palm day 7 day	Residence 1	Day 7 day	Subject_1
SL336666	Skin	Right palm	residence 1 right palm day 7 day	Residence 1	Day 7 day	Subject_1
SL345933	Skin	Left palm	residence 2 left palm day 7 day	Residence 2	Day 7 day	Subject_2
SL345909	Skin	Right palm	residence 2 right palm day 7 day	Residence 2	Day 7 day	Subject_2
SL336702	Skin	Left palm	residence 3 left palm day 7 day	Residence 3	Day 7 day	Subject_3
SL336694	Skin	Right palm	residence 3 right palm day 7 day	Residence 3	Day 7 day	Subject_3
SL346094	Skin	Left palm	residence 4 left palm day 7 day	Residence 4	Day 7 day	Subject_4
SL346149	Skin	Right palm	residence 4 right palm day 7 day	Residence 4	Day 7 day	Subject_4
SL336622	Skin	Left palm	residence 1 left palm day 7 night	Residence 1	Day 7 night	Subject_1
SL336615	Skin	Right palm	residence 1 right palm day 7 night	Residence 1	Day 7 night	Subject_1
SL345957	Skin	Left palm	residence 2 left palm day 7 night	Residence 2	Day 7 night	Subject_2
SL345981	Skin	Right palm	residence 2 right palm day 7 night	Residence 2	Day 7 night	Subject_2
SL336782	Skin	Left palm	residence 3 left palm day 7 night	Residence 3	Day 7 night	Subject_3
SL336774	Skin	Right palm	residence 3 right palm day 7 night	Residence 3	Day 7 night	Subject_3
SL346089	Skin	Left palm	residence 4 left palm day 7 night	Residence 4	Day 7 night	Subject_4
SL336655	Skin	Left palm	residence 1 left palm day 8 day	Residence 1	Day 8 day	Subject_1
SL336661	Skin	Right palm	residence 1 right palm day 8 day	Residence 1	Day 8 day	Subject_1
SL345934	Skin	Left palm	residence 2 left palm day 8 day	Residence 2	Day 8 day	Subject_2
SL345950	Skin	Right palm	residence 2 right palm day 8 day	Residence 2	Day 8 day	Subject_2
SL336703	Skin	Left palm	residence 3 left palm day 8 day	Residence 3	Day 8 day	Subject_3
SL336695	Skin	Right palm	residence 3 right palm day 8 day	Residence 3	Day 8 day	Subject_3
SL346169	Skin	Left palm	residence 4 left palm day 8 day	Residence 4	Day 8 day	Subject_4
SL346163	Skin	Right palm	residence 4 right palm day 8 day	Residence 4	Day 8 day	Subject_4
SL336679	Skin	Left palm	residence 1 left palm day 8 night	Residence 1	Day 8 night	Subject_1
SL336685	Skin	Right palm	residence 1 right palm day 8 night	Residence 1	Day 8 night	Subject_1
SL345958	Skin	Left palm	residence 2 left palm day 8 night	Residence 2	Day 8 night	Subject_2
SL345982	Skin	Right palm	residence 2 right palm day 8 night	Residence 2	Day 8 night	Subject_2
SL336751	Skin	Left palm	residence 3 left palm day 8 night	Residence 3	Day 8 night	Subject_3
SL336743	Skin	Right palm	residence 3 right palm day 8 night	Residence 3	Day 8 night	Subject_3
SL346151	Skin	Left palm	residence 4 left palm day 8 night	Residence 4	Day 8 night	Subject_4
SL346109	Skin	Right palm	residence 4 right palm day 8 night	Residence 4	Day 8 night	Subject_4
SL336644	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL346087	Skin	Left palm	residence 2 left palm day 9 day	Residence 2	Day 9 day	Subject_2
SL336570	Skin	Left palm	residence 3 left palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL346126	Skin	Left palm	residence 4 left palm day 9 day	Residence 4	Day 9 day	Subject_4
SL346118	Skin	Right palm	residence 4 right palm day 9 day	Residence 4	Day 9 day	Subject_4
SL336687	Skin	Left palm	residence 1 left palm day 9 night	Residence 1	Day 9 night	Subject_1
SL336681	Skin	Right palm	residence 1 right palm day 9 night	Residence 1	Day 9 night	Subject_1
SL346095	Skin	Left palm	residence 2 left palm day 9 night	Residence 2	Day 9 night	Subject_2
SL336584	Skin	Left palm	residence 3 left palm day 9 night	Residence 3	Day 9 night	Subject_3
SL336583	Skin	Right palm	residence 3 right palm day 9 night	Residence 3	Day 9 night	Subject_3